S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Tender Value in ₹
61,05-Jul-2024 6:00 PM,23-Jul-2024 1:00 PM,24-Jul-2024 1:00 PM,"[Providing, placing following tentage items and making operational and removing the same as well as making the sites as per previous at different function for 3 months at North Campus , University of Delhi] [CEET-5756][2024_DU_815153_1]",Delhi University||Central Office - DU||Engineering - DU,"9,79,840"
9,05-Jul-2024 6:45 PM,12-Jul-2024 6:45 PM,13-Jul-2024 6:45 PM,[Supply And Installation Of Bio Sensors] [PUR/CONS/77/24-25][2024_DPHAR_813012_2],Department of Pharmaceuticals||National Institute of Pharmaceutical Education and Research (NIPER) Hyderabad||Stores and Purchase Department - NIPER Hyderabad,NA
10,05-Jul-2024 6:45 PM,12-Jul-2024 6:45 PM,13-Jul-2024 6:45 PM,[Supply And Installation Of Spare Parts of Sprayer dryer] [CONS/241/23-24][2024_DPHAR_811148_2],Department of Pharmaceuticals||National Institute of Pharmaceutical Education and Research (NIPER) Hyderabad||Stores and Purchase Department - NIPER Hyderabad,NA
30,05-Jul-2024 6:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 12:30 PM,"[SITC of 2 nos 2.0TR , 1 no. 2TR and 2 nos 1.5TR Split type Air Conditioner (AC) units at Postal Civil circle, 6th floor, Visitors room, 3rd floor Meghdoot Bhawan and CEPT, Bihar Circle] [04 /AE/PESD/NIT/PATNA/2024-25][2024_DOP_815214_1]","Department of Posts||Bihar Circle,Dept. of Posts||CPMG,Bihar Circle,Patna,POST||DIR.Postal services (HQ),Patna,POST","4,33,723"
42,05-Jul-2024 6:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 12:30 PM,"[Provision of EI , Fans and LAN cabling work at new construction temporary shed hall and toilet at Motihari Court SO.] [5 /AE/PESD/NIT/PATNA/2024-25][2024_DOP_815221_1]","Department of Posts||Bihar Circle,Dept. of Posts||CPMG,Bihar Circle,Patna,POST||DIR.Postal services (HQ),Patna,POST","1,85,349"
55,05-Jul-2024 6:00 PM,15-Jul-2024 11:00 AM,16-Jul-2024 12:30 PM,"[Repairing/ renovation of Internal EI, Illumination, for interior work at Post Shopee, Patna GPO] [6 /AE/PESD/NIT/PATNA/2024-25][2024_DOP_815229_1]","Department of Posts||Bihar Circle,Dept. of Posts||CPMG,Bihar Circle,Patna,POST||DIR.Postal services (HQ),Patna,POST","1,83,728"
97,05-Jul-2024 5:00 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:30 PM,"[Renovation in the chamber of Sr. DDG PAF, Room no.-405, at Dak Bhawan, New Delhi.] [03/II/AE/PCSD/NIT/24-25][2024_DOP_815202_1]","Department of Posts||Delhi Circle, Dept. of Posts||Off. of EE(C),Delhi Circle,POST||Postal Civil Division,EE(C),Delhi Circle","2,63,681"
24,05-Jul-2024 6:10 PM,15-Jul-2024 11:00 AM,16-Jul-2024 11:30 AM,[Providing Electrical rewiring for second floor and Electrical maintenance for Ground and First floor of Adoor HO Building SR Kerala] [26/EEE/PED/BGL/2024-25][2024_DOP_815240_1],"Department of Posts||Karnataka Circle,Dept. of Posts||CPMG,Karnataka Circle,Bangalore,POST||EE(Electrical),RMS Bhawan,Bangalore,POST","7,25,642"
14,05-Jul-2024 6:30 PM,11-Jul-2024 4:00 PM,12-Jul-2024 4:30 PM,[IMPROVEMENT OF BCL BLOCK AT BOP KHANDUA OF 115 BN BSF UNDER SHQ BSF MALDA SH ELECTRICAL INSTALLATION AND FANS] [39/ENGG (ELECT)/SHQ-MLD/2023-24][2024_BSF_813940_2],"DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA","91,351"
16,05-Jul-2024 6:30 PM,11-Jul-2024 4:00 PM,12-Jul-2024 4:30 PM,[IMPROVEMENT OF BCL BLOCK AT BOP DAULATPUR OF 115 BN BSF UNDER SHQ BSF MALDA SH ELECTRICAL INSTALLATION AND FANS] [38/ENGG (ELECT)/SHQ-MLD/2023-24][2024_BSF_813911_2],"DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA","1,13,179"
95,05-Jul-2024 5:00 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:00 PM,"[Replacement of Batteries for 2 X 100 KVA UPS system of CRF Building, Sonipat Campus] [IITD/WORKS (SP-4690)/2024][2024_IIT_815200_1]",Director-Indian Institute of Technology(IIT Delhi)||Dy.Registrar(Stores) Central Store Purchase Section-IIT Delhi,"7,68,264"
60,05-Jul-2024 6:00 PM,15-Jul-2024 2:00 PM,16-Jul-2024 3:00 PM,[High Speed Diesel Oil] [DPS/MRPU/1/5/9600-RT3][2024_DPS_815065_1],Directorate of Purchase and Stores||Madras Regional Purchase Unit Chennai - DPS,NA
71,05-Jul-2024 5:45 PM,18-Jul-2024 2:00 PM,19-Jul-2024 3:00 PM,[Spares for Scanning Electron Microscope for model EVO182 as per technical specification annexure enclosed] [DPS/MRPU/1/2/11114][2024_DPS_812946_1],Directorate of Purchase and Stores||Madras Regional Purchase Unit Chennai - DPS,NA
74,05-Jul-2024 5:45 PM,18-Jul-2024 2:00 PM,19-Jul-2024 3:00 PM,[Dry Scroll Vacuum Pumps as per technical specification annexure attached. ] [DPS/MRPU/1/2/14880][2024_DPS_812991_1],Directorate of Purchase and Stores||Madras Regional Purchase Unit Chennai - DPS,NA
54,05-Jul-2024 6:00 PM,26-Jul-2024 12:00 PM,29-Jul-2024 2:00 PM,[ Replacement of Cooling Tower at EIB Chennai] [DC/8590-000-PB-T-1644/251][2024_EIL_815156_1],"Engineers India Limited,MoPNG||Head Office-Delhi,EIL,MoPNG",NA
96,05-Jul-2024 5:00 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:00 PM,[CAMC for 40 MT ELWB at FSD Maddur] [CAMC for 40 MT ELWB at FSD Maddur][2024_FCI_815021_1],"Food Corporation of India||Regional Office,Karnataka,FCI,MFPD||DO-Mysore_KN_FCI","65,200"
73,05-Jul-2024 5:45 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:00 PM,[ARMO civil works for the year 2024 2025 Systematic Maintenance of Railway Siding at FSD Peelamedu ] [07/Engg/C/RO-TN/2024-25 SMRS PLMD][2024_FCI_815230_1],"Food Corporation of India||Regional Office,Tamilnadu,FCI,MFPD||Information Technology Dn,TN,FCI","41,24,777"
94,05-Jul-2024 5:00 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:00 PM,[PROCUREMENT OF EXTRA DRONE BATTERIES] [HURL/HQ/CS439][2024_HURL_815199_1],Hindustan Urvarak and Rasayan Limited||HQ-Delhi - HURL,NA
43,05-Jul-2024 6:00 PM,12-Jul-2024 3:00 PM,13-Jul-2024 3:30 PM,"[Comprehensive Annual Maintenance Contract for 4 nos. of Passenger lifts installed at LTC (Between D and E Block), FPM, Executive Residence-3, and SR-16 building at IIM Indore] [IIMI/Estate/12/2024/217 File No. 497][2024_IIMID_815198_1]",Indian Institute of Management Indore||Project,"4,13,312"
1,05-Jul-2024 6:55 PM,11-Jul-2024 3:00 PM,12-Jul-2024 3:05 PM,[Beautification of guest rooms ] [IISER/24-25/SE/MISC-08][2024_IISRM_814883_1],Indian Institute of Science Education and Research - Mohali,"4,95,445"
51,05-Jul-2024 6:00 PM,26-Jul-2024 2:30 PM,27-Jul-2024 3:30 PM,[Supply of Bacillus Subtilis Single Gene deletion Library-1671] [IISERM(1671)24/25-Pur][2024_IISRM_815090_1],Indian Institute of Science Education and Research - Mohali,NA
39,05-Jul-2024 6:00 PM,25-Jul-2024 3:00 PM,26-Jul-2024 3:30 PM,[Supply and Installation of Phase Sensing System at IIT Bhilai] [IITBh/Goods/Phy/2024-25/061 ][2024_IITB_815172_1],Indian Institute of Technology Bhilai||Stores and Purchase - IIT Bhilai,NA
64,05-Jul-2024 6:00 PM,25-Jul-2024 3:00 PM,26-Jul-2024 3:30 PM,[Supply and Installation of Phase Sensing System at IIT Bhilai] [IITBh/Goods/Phy/2024-25/061 ][2024_IITB_815172_1],Indian Institute of Technology Bhilai||Stores and Purchase - IIT Bhilai,NA
34,05-Jul-2024 6:00 PM,17-Jul-2024 3:00 PM,18-Jul-2024 3:30 PM,"[Annual Comprehensive Maintenance of Schindler make Passenger Lifts, Passenger cum goods lifts and Service lift installed in Guest House at IIT Gandhinagar] [20/IITGN/IWD/2024-25][2024_IITGN_815178_1]",Indian Institute of Technology Gandhinagar||Building and Works Department - IITGN,"8,25,888"
50,05-Jul-2024 6:00 PM,17-Jul-2024 3:00 PM,18-Jul-2024 3:30 PM,"[Annual Comprehensive Maintenance of Schindler make Passenger Lifts, Passenger cum goods lifts and Service lift installed in Guest House at IIT Gandhinagar] [20/IITGN/IWD/2024-25][2024_IITGN_815178_1]",Indian Institute of Technology Gandhinagar||Building and Works Department - IITGN,"8,25,888"
63,05-Jul-2024 6:00 PM,17-Jul-2024 3:00 PM,18-Jul-2024 3:30 PM,"[Annual Comprehensive Maintenance of Schindler make Passenger Lifts, Passenger cum goods lifts and Service lift installed in Guest House at IIT Gandhinagar] [20/IITGN/IWD/2024-25][2024_IITGN_815178_1]",Indian Institute of Technology Gandhinagar||Building and Works Department - IITGN,"8,25,888"
17,05-Jul-2024 6:30 PM,15-Jul-2024 2:00 PM,16-Jul-2024 3:30 PM,[Upgradation of lighting arrangement by replacing defective metal halide lights with LED flood lights and additional lights for net practice area in cricket ground no. 1 at IITG campus] [IITG/IPM/NIT/R/2024-25/16][2024_IITG_815247_1],Indian Institute of Technology Guwahati||Administration - IITG||Engineer Section - IITG,"5,71,673"
75,05-Jul-2024 5:40 PM,26-Jul-2024 4:00 PM,29-Jul-2024 4:00 PM,[Purchase of Gaming Console] [IITK/DOD/KP/2024-25/03][2024_IITK_815206_1],Indian Institute of Technology Kanpur||Central Stores and Purchase Section - IITK,NA
84,05-Jul-2024 5:15 PM,26-Jul-2024 4:00 PM,29-Jul-2024 4:00 PM,[Purchase of Display Pen Tablet] [IITK/DOD/KP/2024-25/02][2024_IITK_815184_1],Indian Institute of Technology Kanpur||Central Stores and Purchase Section - IITK,NA
22,05-Jul-2024 6:20 PM,27-Jul-2024 6:00 PM,29-Jul-2024 3:30 PM,[Providing and fixing aluminium partition in data science and AI lab A18-03-02 for creation of space for research scholars and server room at North campus of IIT Mandi] [IIT Mandi (CW)/SE-1599/2024-25/ 830-32 dated 05-07-2024 ][2024_IITMD_815226_1],Indian Institute of Technology Mandi||Construction Wing - IITMD,"3,28,165"
49,05-Jul-2024 6:00 PM,06-Aug-2024 6:00 PM,07-Aug-2024 6:00 PM,[SUPPLY OF CONSUMABLES/NON-CONSUMABLES] [JIP/Pur.6(1)/OeT/Uro/2023-25][2024_JIPMP_815182_1],Jawaharlal Institute of Postgraduate Medical Education and Research JIPMER- Puducherry Central Autonomous Body under MOH and FW- GOI)||Purchase Section (Puducherry),NA
89,05-Jul-2024 5:00 PM,11-Jul-2024 2:00 PM,12-Jul-2024 2:00 PM,"[Supply of BD Hu Single Cell Sample Multiplexing Kit in School of Life Sciences,JNU, New Delhi] [JNU/SLS/RPS/ICMR/BD Hu Single Cell Sample Multiplexing Kit/2024-25][2024_JNU_815189_1]",Jawaharlal Nehru University||SLS - JNU,NA
93,05-Jul-2024 5:00 PM,11-Jul-2024 2:00 PM,12-Jul-2024 2:00 PM,"[Supply of Agencourt AMPure XP Beads 60ml in School of Life Sciences,JNU, New Delhi] [JNU/SLS/RPS/ICMR/Agencourt AMPure XP Beads 60ml/2024-25][2024_JNU_815207_1]",Jawaharlal Nehru University||SLS - JNU,NA
98,05-Jul-2024 5:00 PM,11-Jul-2024 2:00 PM,12-Jul-2024 2:00 PM,"[Supply of BD Hu Single Cell Sample Multiplexing Kit in School of Life Sciences,JNU, New Delhi] [JNU/SLS/RPS/ICMR/BD Hu Single Cell Sample Multiplexing Kit/2024-25][2024_JNU_815189_1]",Jawaharlal Nehru University||SLS - JNU,NA
86,05-Jul-2024 5:00 PM,27-Aug-2024 5:00 PM,02-Sep-2024 11:00 AM,"[Widening of valley side at 20.90 km, 35.50 km and 36.70 km and widening of culvert at 17.60 km, 17.80 km, 18.30 km, 20.20 km, 21.50 km, 21.65 km, 21.85 km, 32.80 km, 33.10 km, 38.30 km, 40.30 km, 43.70 km and 47.30 km of NH-10, Job No.547.] [WBPW_Rd/SE/NHC3/eRFP-5/2024-25][2024_MoRTH_815195_1]",Ministry of Road Transport and Highways||P3 Delhi - MoRTH||RO Kolkata - MoRTH||NH West Bengal PWD-Siliguri - MoRTH,"68,61,26,000"
77,05-Jul-2024 5:30 PM,19-Jul-2024 5:30 PM,22-Jul-2024 3:30 PM,[Consultancy Services during operation and Maintenance of 2 lane road with paved shoulders of Mangrulpir to Mahan (NH 161 A from 971A74 b 641574) Designkm.75.000 to km. 107.5001(Total Length 32.5 Km) in the state of Maharashtra on EPC Basis mode(2nd C] [63/EENH/AKL/2023-24 Dt.11.03.2024][2024_MoRTH_799890_2],Ministry of Road Transport and Highways||P6 Delhi - MoRTH||RO Mumbai - MoRTH||NH Division-Akola - MoRTH,"1,33,00,000"
29,05-Jul-2024 6:00 PM,26-Jul-2024 6:00 PM,29-Jul-2024 12:00 PM,[Upgradation of existing seizure information management system and maintenance for 5 Years] [M-13/19/2023-Computer Room][2024_NCB_815239_1],Narcotics Control Bureau (HQ)||Communication/Computer Section (HQ),"15,00,000"
27,05-Jul-2024 6:00 PM,11-Jul-2024 10:00 AM,12-Jul-2024 10:00 AM,[TEST TENDER] [TEST/01-2024][2024_NALCO_815231_1],"National Aluminium Company Limited,NALCO||NALCO-Corporate Office-Bhubaneswar||Tender and Contract-CO-Bhubaneswar-NALCO",NA
57,05-Jul-2024 6:00 PM,06-Aug-2024 6:00 PM,08-Aug-2024 11:00 AM,[Portable Triple Isotope Water Analyser] [PUR-PROC/213a/2023-PUR-NCESS][2024_NCESS_815055_1],National Centre for Earth Science Studies||Purchase - NCESS,NA
18,05-Jul-2024 6:30 PM,11-Jul-2024 11:00 AM,15-Jul-2024 3:00 PM,[CLOSE CYCLE FRIDGE DEVICE ELECTRONICS] [NC-000569-RIN4001-SPS-23-24][2024_NISER_814774_1],National Institute of Science Education and Research - Odisha||Stores and Purchase Section,"21,98,340"
3,05-Jul-2024 6:55 PM,26-Jul-2024 5:00 PM,29-Jul-2024 10:00 AM,"[Electrical Design, Supply, Installation, Testing and Commissioning of indoor substation with 1.5MVA transformer] [Engg/EMU/EE/39/NIEOI/1.5 MVA Transformer][2024_NITC_815255_1]",National Institute of Technology Calicut||Engineering Unit 1 - NIT Calicut,"1,30,00,000"
23,05-Jul-2024 6:15 PM,26-Jul-2024 6:00 PM,29-Jul-2024 10:00 AM,"[Providing Aluminium partition and work benches at chemistry department (room no 207 sophisticated instrumentation lab,room no 209PG instrumentation lab,room no 103A-Thermal analysis lab)] [Engg/D1/345/2024-25][2024_NITC_815243_1]",National Institute of Technology Calicut||Engineering Unit 1 - NIT Calicut,"23,96,502"
26,05-Jul-2024 6:00 PM,26-Jul-2024 6:00 PM,31-Jul-2024 3:00 PM,"[Drainage and Protection Work and Part Realignment at Major Landslide portion of Project Access Road at RD 2200 of Sawalkote HE Project,Tanger,Ramban, Jammu and Kashmir] [NH/SHEP/PNC/2024/PR14324/28][2024_NHPC_815036_1]",NHPC Limited||Sawalkote HE Project - NHPC,"14,55,936"
20,05-Jul-2024 6:30 PM,09-Aug-2024 3:00 PM,12-Aug-2024 3:00 PM,[ELECTRICAL WORKS FOR NUMALIGARH REFINERY EXPANSION PROJECT AT NUMALIGARH REFINERY LIMITED ASSAM] [TPIL/CONS/NRL/082176C/040][2024_NRL_814672_1],Numaligarh Refinery Limited,NA
21,05-Jul-2024 6:30 PM,09-Aug-2024 3:00 PM,12-Aug-2024 3:00 PM,[ELECTRICAL WORKS FOR NUMALIGARH REFINERY EXPANSION PROJECT AT NUMALIGARH REFINERY LIMITED ASSAM] [TPIL/CONS/NRL/082176C/040][2024_NRL_814672_1],Numaligarh Refinery Limited,NA
7,05-Jul-2024 6:50 PM,15-Jul-2024 10:00 AM,16-Jul-2024 11:00 AM,[Tender for SUPPLY OF FRUITS AND VEGETABLE ITEMS FOR KITCHEN] [SAI/NSRC/LKO/KITCHEN/2024][2024_SAI_815254_1],Sports Authority of India||SAI Regional Centre Lucknow,"98,00,000"
37,05-Jul-2024 6:00 PM,26-Jul-2024 5:00 PM,30-Jul-2024 3:30 PM,[Turnkey works for LA-B at Dr BBCI] [Turnkey works for LA-B][2024_TMC_815139_1],Tata Memorial Centre||Dr B Borooah Cancer Institute Guwahati,"1,89,16,000"
46,05-Jul-2024 6:00 PM,26-Jul-2024 5:00 PM,29-Jul-2024 3:30 PM,[Molecular Path Lab] [Molecular Path Lab][2024_TMC_815188_1],Tata Memorial Centre||Dr B Borooah Cancer Institute Guwahati,"11,13,524"
66,05-Jul-2024 6:00 PM,26-Jul-2024 5:00 PM,30-Jul-2024 3:30 PM,[Turnkey works for LA-B at Dr BBCI] [Turnkey works for LA-B][2024_TMC_815139_1],Tata Memorial Centre||Dr B Borooah Cancer Institute Guwahati,"1,89,16,000"
33,05-Jul-2024 6:00 PM,29-Jul-2024 5:00 PM,31-Jul-2024 10:00 AM,"[Rate Contract for the supply of Branded Stationery items to HBCHRC, New Chandigarh and HBCH, Sangrur for Two Years] [HBCHRC/RC/Branded Stationery/2024-2025/13 ][2024_TMC_815148_1]",Tata Memorial Centre||Homi Bhabha Cancer Hospital and R C Mohali Punjab,NA
76,05-Jul-2024 5:35 PM,25-Jul-2024 2:30 PM,26-Jul-2024 3:00 PM,[TMH/RC/EMPANEL/CT-MRI/2024] [TMH/RC/EMPANEL/CT-MRI/2024][2024_TMC_815224_1],Tata Memorial Centre||Tata Memorial Hospital Mumbai,NA
91,05-Jul-2024 5:00 PM,20-Jul-2024 5:00 PM,22-Jul-2024 10:30 AM,[Providing Electrical power connection to different loads] [VECC/MEG/ES/NIT/24-25/B 38/1049][2024_VECC_815041_1],Variable Energy Cyclotron Centre,"4,00,000"